AddressID,AddressLine1,AddressLine2,City,StateProvinceID,StateProvinceCode,StateProvinceName,PostalCode,CountryRegionCode,CountryRegionName,AddressRowGUID,AddressModifiedDate
1,1970 Napa Ct.,,Bothell,79,WA,Washington,98011,US,United States,{9AADCB0D-36CF-483F-84D8-585C2D4EC6E9},2007-12-04T00:00:00.000Z
3,7484 Roundtree Drive,,Bothell,79,WA,Washington,98011,US,United States,{4C506923-6D1B-452C-A07C-BAA6F5B142A4},2013-03-07T00:00:00.000Z
5,1226 Shoe St.,,Bothell,79,WA,Washington,98011,US,United States,{FBAFF937-4A97-4AF0-81FD-B849900E9BB0},2008-12-19T00:00:00.000Z
6,1399 Firestone Drive,,Bothell,79,WA,Washington,98011,US,United States,{FEBF8191-9804-44C8-877A-33FDE94F0075},2009-02-13T00:00:00.000Z
12,5415 San Gabriel Dr.,,Bothell,79,WA,Washington,98011,US,United States,{1C2C9CFE-AB9F-4F96-8E1F-D9666B6F7F22},2013-01-05T00:00:00.000Z
13,9265 La Paz,,Bothell,79,WA,Washington,98011,US,United States,{E0BA2F52-C907-4553-A0DB-67FC67D28AE4},2013-12-14T00:00:00.000Z
15,4912 La Vuelta,,Bothell,79,WA,Washington,98011,US,United States,{F397E64A-A9D8-4E57-9E7C-B10928ACADD6},2013-11-18T00:00:00.000Z
16,40 Ellis St.,,Bothell,79,WA,Washington,98011,US,United States,{0312B65F-CB60-4396-9EC7-A78B2EAC1A1B},2012-11-09T00:00:00.000Z
19,3148 Rose Street,,Bothell,79,WA,Washington,98011,US,United States,{6B7ACB0F-CDBF-44FD-BA14-EB08A56C1582},2014-04-03T00:00:00.000Z
20,6872 Thornwood Dr.,,Bothell,79,WA,Washington,98011,US,United States,{4B1F1ED4-97A4-43FD-BB1E-9E05817718E8},2009-02-05T00:00:00.000Z
22,636 Vine Hill Way,,Portland,58,OR,Oregon,97205,US,United States,{7F641525-2704-4F73-9D8A-EB062CFBFA3C},2011-05-24T00:00:00.000Z
26,5725 Glaze Drive,,San Francisco,9,CA,California,94109,US,United States,{77415959-A4EE-4DA6-86F9-70C097560005},2011-05-24T00:00:00.000Z
27,2487 Riverside Drive,,Nevada,74,UT,Utah,84407,US,United States,{C1D0F3B0-6B2A-4388-8861-48F44D8270A1},2011-05-24T00:00:00.000Z
28,9228 Via Del Sol,,Phoenix,6,AZ,Arizona,85004,US,United States,{12AE5EE1-FC3E-468B-9B92-3B970B169774},2011-08-01T00:00:00.000Z
31,9100 Sheppard Avenue North,,Ottawa,57,ON,Ontario,K4B 1T7,CA,Canada,{644DEA26-E6FD-4019-85E6-35364DDAB0CC},2011-05-24T00:00:00.000Z
34,94,,,,,,,,,,
37,Downshire Way,,Cambridge,14,ENG,England,BA5 3HX,GB,United Kingdom,{7F80F9CE-50F1-404B-8C18-7C95EE35A6EE},2012-05-23T00:00:00.000Z
40,1902 Santa Cruz,,Bothell,79,WA,Washington,98011,US,United States,{5A0C5C47-18BE-420B-89BA-D39878160D80},2010-02-01T00:00:00.000Z
41,793 Crawford Street,,Kenmore,79,WA,Washington,98028,US,United States,{58F28FFB-BE74-47F9-AEC0-D5771026ED8F},2014-03-25T00:00:00.000Z
43,5203 Virginia Lane,,Kenmore,79,WA,Washington,98028,US,United States,{E210A601-42B9-4313-979D-4BCCA6144343},2010-02-13T00:00:00.000Z
44,4095 Cooper Dr.,,Kenmore,79,WA,Washington,98028,US,United States,{E6A218AE-516C-4CD6-A0A9-105FCD46994B},2008-12-27T00:00:00.000Z
47,8192 Seagull Court,,Kenmore,79,WA,Washington,98028,US,United States,{3DE1BDE3-FF37-4992-B50E-E12D5E247132},2009-01-11T00:00:00.000Z
48,5553 Cash Avenue,,Kenmore,79,WA,Washington,98028,US,United States,{1875165E-D9E4-414F-8FCB-6A8720625443},2014-01-31T00:00:00.000Z
52,4231 Spar Court,,Snohomish,79,WA,Washington,98296,US,United States,{19801401-913F-45FA-A7D3-8573F35202E7},2009-01-20T00:00:00.000Z
53,1285 Greenbrier Street,,Snohomish,79,WA,Washington,98296,US,United States,{D08E2B94-FFC3-44F6-B926-ECD76F0360F6},2008-12-28T00:00:00.000Z
54,5724 Victory Lane,,Snohomish,79,WA,Washington,98296,US,United States,{AEB2271B-A9E9-454E-B04B-8A3B91014463},2010-01-29T00:00:00.000Z
57,7230 Vine Maple Street,,Snohomish,79,WA,Washington,98296,US,United States,{2C5FE85E-796E-4666-B449-9CFDFA870058},2009-01-22T00:00:00.000Z
61,7726 Driftwood Drive,,Monroe,79,WA,Washington,98272,US,United States,{07373E01-BD99-405A-996A-AB68984423C3},2006-06-23T00:00:00.000Z
64,4566 La Jolla,,Monroe,79,WA,Washington,98272,US,United States,{39EFCF68-25CA-4B41-9882-A91F8FC2EC62},2009-01-08T00:00:00.000Z
65,1356 Grove Way,,Monroe,79,WA,Washington,98272,US,United States,{C9ED93AD-FE56-4A9E-86D0-E53DB70DB0CC},2009-02-14T00:00:00.000Z
76,2598 La Vista Circle,,Duvall,79,WA,Washington,98019,US,United States,{3661F140-8DE9-4C81-A54E-661E6C61A801},2009-02-03T00:00:00.000Z
78,1825 Corte Del Prado,,Duvall,79,WA,Washington,98019,US,United States,{86F8D7EA-AF62-4A35-8FC6-4278BCA608F1},2008-12-27T00:00:00.000Z
81,8209 Green View Court,,Duvall,79,WA,Washington,98019,US,United States,{41AE4C8A-1922-427A-B66F-3779639B0F42},2010-02-20T00:00:00.000Z
85,991 Vista Verde,,Duvall,79,WA,Washington,98019,US,United States,{8EAB0498-EB64-4F80-AEDE-CA3735D4C097},2009-02-01T00:00:00.000Z
86,390 Ridgewood Ct.,,Carnation,79,WA,Washington,98014,US,United States,{DAFBD136-5AC2-4F16-8D82-2BFFFD60B7A7},2008-12-20T00:00:00.000Z
88,9666 Northridge Ct.,,Carnation,79,WA,Washington,98014,US,United States,{FD316D3A-10F5-41D7-8CD9-7B1EAA851223},2008-12-01T00:00:00.000Z
91,7166 Brock Lane,,Seattle,79,WA,Washington,98104,US,United States,{219725C5-2537-45DB-879D-CE160729EECE},2008-12-15T00:00:00.000Z
92,7126 Ending Ct.,,Seattle,79,WA,Washington,98104,US,United States,{DEDCAECB-19B4-4441-9BBB-BC758329F406},2007-12-19T00:00:00.000Z
93,4598 Manila Avenue,,Seattle,79,WA,Washington,98104,US,United States,{058435DF-1143-4921-A47E-FD02E7F05EA7},2010-01-29T00:00:00.000Z
94,5666 Hazelnut Lane,,Seattle,79,WA,Washington,98104,US,United States,{1033EF53-1246-4830-878C-516D4697ED8B},2009-02-24T00:00:00.000Z
96,5375 Clearland Circle,,Seattle,79,WA,Washington,98104,US,United States,{EF57EA2B-15FD-4887-90DC-77EC79AE67E9},2009-01-04T00:00:00.000Z
101,3243 Buckingham Dr.,# 207,Seattle,79,WA,Washington,98104,US,United States,{0F1F79AB-54A1-4C6C-BEB7-E476E8521599},2009-02-15T00:00:00.000Z
103,9537 Ridgewood Drive,,Seattle,79,WA,Washington,98104,US,United States,{906F7B49-E609-42CB-9BF5-ED5C043D166C},2010-02-05T00:00:00.000Z
108,7842 Ygnacio Valley Road,,Seattle,79,WA,Washington,98104,US,United States,{6600064E-0B21-405D-85C4-6A5E1E41771D},2008-12-10T00:00:00.000Z
111,77 Birchwood,,Seattle,79,WA,Washington,98104,US,United States,{C27E3B42-1548-404C-B104-F765CF42C068},2009-01-27T00:00:00.000Z
112,7765 Sunsine Drive,,Seattle,79,WA,Washington,98104,US,United States,{40E9167A-DB5B-4D4B-9B57-F5030A37EA4C},2009-02-19T00:00:00.000Z
115,4948 West 4th St,,Seattle,79,WA,Washington,98104,US,United States,{E7CBD421-FFD2-4A42-A143-67DA8558CC03},2009-02-13T00:00:00.000Z
117,426 San Rafael,,Seattle,79,WA,Washington,98104,US,United States,{5C85508E-C13B-49F2-A260-0A0825ED9B81},2009-02-08T00:00:00.000Z
120,6498 Mining Rd.,,Seattle,79,WA,Washington,98104,US,United States,{FB839852-9026-4C74-A7F2-E53030B7A434},2009-02-08T00:00:00.000Z
122,2354 Frame Ln.,,Seattle,79,WA,Washington,98104,US,United States,{28B00D11-67B0-4818-8B3A-1CFD2FF6169D},2009-12-18T00:00:00.000Z
126,7594 Alexander Pl.,,Seattle,79,WA,Washington,98104,US,United States,{FAD17750-D933-4352-9C7C-2FC1378ED1A6},2008-12-10T00:00:00.000Z
127,7127 Los Gatos Court,,Seattle,79,WA,Washington,98104,US,United States,{5648B48C-4A83-491E-A4C1-EDCBB199C0FD},2008-11-29T00:00:00.000Z
128,8656 Lakespring Place,,Seattle,79,WA,Washington,98104,US,United States,{E7889D2B-AE5E-4B37-AB7B-CF28187A3114},2010-01-05T00:00:00.000Z
132,6870 D Bel Air Drive,,Edmonds,79,WA,Washington,98020,US,United States,{AB316A30-9D6B-4B6F-915C-616F6ABD7092},2010-02-06T00:00:00.000Z
133,8152 Claudia Dr.,,Edmonds,79,WA,Washington,98020,US,United States,{7BBAC738-C1B1-411B-B308-2054A5E1F55F},2009-01-05T00:00:00.000Z
137,9784 Mt Etna Drive,,Edmonds,79,WA,Washington,98020,US,United States,{E6266748-6E05-416C-8FF9-BEB5C8B15323},2008-12-16T00:00:00.000Z
139,2687 Ridge Road,,Edmonds,79,WA,Washington,98020,US,United States,{25B072AB-17F7-4C1C-A13A-ACD309BBAA61},2009-01-13T00:00:00.000Z
140,371 Apple Dr.,,Edmonds,79,WA,Washington,98020,US,United States,{88FA21D3-2523-4CF1-BCFD-151E734F8961},2009-01-07T00:00:00.000Z
142,2080 Sycamore Drive,,Edmonds,79,WA,Washington,98020,US,United States,{8541E00D-8DA8-429B-912E-B7E854747A00},2008-12-28T00:00:00.000Z
146,207 Berry Court,,Edmonds,79,WA,Washington,98020,US,United States,{B374FEA1-C3B5-4737-A1A4-190997E961DF},2009-01-03T00:00:00.000Z
148,3632 Bank Way,,Edmonds,79,WA,Washington,98020,US,United States,{0F7B8AC1-A660-447E-AAD4-A0048DA3CD47},2010-02-16T00:00:00.000Z
152,2466 Clearland Circle,,Edmonds,79,WA,Washington,98020,US,United States,{1494AD94-C1FE-4A28-AD63-A59370718785},2009-12-22T00:00:00.000Z
154,5423 Champion Rd.,,Edmonds,79,WA,Washington,98020,US,United States,{2E5B2953-BEE0-4568-A6F0-5AB41ABBCF63},2008-12-24T00:00:00.000Z
