Date,DateKey,Year,Month,Day,DayOfWeek,Quarter,WeekOfYear,DayName,MonthName,IsWeekend
2010-04-30,20100430,2010,4,30,6,2,17,Friday,April,false
2010-05-01,20100501,2010,5,1,7,2,17,Saturday,May,true
2010-05-02,20100502,2010,5,2,1,2,17,Sunday,May,true
2010-05-03,20100503,2010,5,3,2,2,18,Monday,May,false
2010-05-04,20100504,2010,5,4,3,2,18,Tuesday,May,false
2010-05-05,20100505,2010,5,5,4,2,18,Wednesday,May,false
2010-05-06,20100506,2010,5,6,5,2,18,Thursday,May,false
2010-05-07,20100507,2010,5,7,6,2,18,Friday,May,false
2010-05-08,20100508,2010,5,8,7,2,18,Saturday,May,true
2010-05-09,20100509,2010,5,9,1,2,18,Sunday,May,true
2010-05-10,20100510,2010,5,10,2,2,19,Monday,May,false
2010-05-11,20100511,2010,5,11,3,2,19,Tuesday,May,false
2010-05-12,20100512,2010,5,12,4,2,19,Wednesday,May,false
2010-05-13,20100513,2010,5,13,5,2,19,Thursday,May,false
2010-05-14,20100514,2010,5,14,6,2,19,Friday,May,false
2010-05-15,20100515,2010,5,15,7,2,19,Saturday,May,true
2010-05-16,20100516,2010,5,16,1,2,19,Sunday,May,true
2010-05-17,20100517,2010,5,17,2,2,20,Monday,May,false
2010-05-18,20100518,2010,5,18,3,2,20,Tuesday,May,false
2010-05-19,20100519,2010,5,19,4,2,20,Wednesday,May,false
2010-05-20,20100520,2010,5,20,5,2,20,Thursday,May,false
2010-05-21,20100521,2010,5,21,6,2,20,Friday,May,false
2010-05-22,20100522,2010,5,22,7,2,20,Saturday,May,true
2010-05-23,20100523,2010,5,23,1,2,20,Sunday,May,true
2010-05-24,20100524,2010,5,24,2,2,21,Monday,May,false
2010-05-25,20100525,2010,5,25,3,2,21,Tuesday,May,false
2010-05-26,20100526,2010,5,26,4,2,21,Wednesday,May,false
2010-05-27,20100527,2010,5,27,5,2,21,Thursday,May,false
2010-05-28,20100528,2010,5,28,6,2,21,Friday,May,false
2010-05-29,20100529,2010,5,29,7,2,21,Saturday,May,true
2010-05-30,20100530,2010,5,30,1,2,21,Sunday,May,true
2010-05-31,20100531,2010,5,31,2,2,22,Monday,May,false
2010-06-01,20100601,2010,6,1,3,2,22,Tuesday,June,false
2010-06-02,20100602,2010,6,2,4,2,22,Wednesday,June,false
2010-06-03,20100603,2010,6,3,5,2,22,Thursday,June,false
2010-06-04,20100604,2010,6,4,6,2,22,Friday,June,false
2010-06-05,20100605,2010,6,5,7,2,22,Saturday,June,true
2010-06-06,20100606,2010,6,6,1,2,22,Sunday,June,true
2010-06-07,20100607,2010,6,7,2,2,23,Monday,June,false
2010-06-08,20100608,2010,6,8,3,2,23,Tuesday,June,false
2010-06-09,20100609,2010,6,9,4,2,23,Wednesday,June,false
2010-06-10,20100610,2010,6,10,5,2,23,Thursday,June,false
